Study Title,Interventions (Drugs),SMILES,Type (C/I),Location,Remarks
"Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With 
Suspected or Confirmed COVID-19",Azithromycin,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,I,"Intermountain Medical Center
 Murray, Utah, United States
 University of Utah
 Salt Lake City, Utah, United States",
Treatment of COVID-19 Patients With Anti-interleukin Drugs,Anakinra,CC(C)(C)C(=O)OCON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C=C)C(=O)O,C,"AZ Sint-Jan Brugge
 Brugge, Belgium
 University Hospital Saint-Pierre
 Brussels, Belgium
 Erasmus University Hospital
 Brussels, Belgium",
"Treatment of Moderate to Severe Coronavirus Disease (COVID-19) 
in Hospitalized Patients",Baricitinib,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,C,,
"Efficacy and Safety of Siltuximab vs. Corticosteroids in Hospitalized 
Patients With COVID19 Pneumonia",Methylprednisolone,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,C,"Hospital Clínic de Barcelona
 Barcelona, Spain",
"Efficacy and Safety of Siltuximab vs. Corticosteroids in Hospitalized 
Patients With COVID19 Pneumonia",Methylprednisolone,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,I,"Hospital Clínic de Barcelona
 Barcelona, Spain",
"Evaluation of Efficacy of Levamisole and Formoterol+Budesonide in 
Treatment of COVID-19",Levamisole,C1CSC2=NC(CN21)C3=CC=CC=C3,C,,
"Evaluation of Efficacy of Levamisole and Formoterol+Budesonide in 
Treatment of COVID-19",Levamisole,C1CSC2=N[C@H](CN21)C3=CC=CC=C3,I,,
"Evaluation of Efficacy of Levamisole and Formoterol+Budesonide in 
Treatment of COVID-19",Budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,C,,
"Evaluation of Efficacy of Levamisole and Formoterol+Budesonide in 
Treatment of COVID-19",Budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,I,,
"Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) 
in Participants With Moderate Coronavirus Disease (COVID-19)
 Compared to Standard of Care Treatment",Remdesivir,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,C,"Kaiser Permanente Los Angeles Medical Center, 
3340 E. La Palma Avenue
 Anaheim, California, United States",
"Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) 
in Participants With Moderate Coronavirus Disease (COVID-19)
 Compared to Standard of Care Treatment",Remdesivir,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,I,"Kaiser Permanente Los Angeles Medical Center, 
3340 E. La Palma Avenue
 Anaheim, California, United States",
Tetrandrine Tablets Used in the Treatment of COVID-19,Tetrandrine,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC,C,"Tetrandrine Tablets
 Jinhua, Zhejiang, China",
Tetrandrine Tablets Used in the Treatment of COVID-19,Tetrandrine,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@H]6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC,I,"Tetrandrine Tablets
 Jinhua, Zhejiang, China",
The Vietnam Chloroquine Treatment on COVID-19,Chloroquine phosphate,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O,C,"National Hospital for Tropical Diseases
 Hanoi, Vietnam",
"The Efficacy and Safety of Thalidomide in the Adjuvant Treatment of Moderate
 New Coronavirus (COVID-19) Pneumonia",thalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,C,,
"Efficacy of Dexamethasone Treatment for Patients With ARDS
 Caused by COVID-19",Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,C,"Department of Anesthesia, Hospital 
Universitario de CrucesBarakaldo, Vizcaya, Spain",
"Efficacy of Dexamethasone Treatment for Patients With ARDS
 Caused by COVID-19",Dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,I,"Department of Anesthesia, Hospital 
Universitario de CrucesBarakaldo, Vizcaya, Spain",
Fingolimod in COVID-19,Fingolimod,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,C,"Wan-Jin Chen
 Fuzhou, China",
"The GReek Study in the Effects of Colchicine in Covid-19 
cOmplications Prevention",Colchicine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,C,,
"The GReek Study in the Effects of Colchicine in Covid-19 
cOmplications Prevention",Colchicine,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,I,,
Study of the Efficacy and Safety of Ruxolitinib to Treat COVID-19 Pneumonia,Ruxolitinib,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,C,"Princess Margaret Cancer Centre
 Toronto, Ontario, Canada",
Study of the Efficacy and Safety of Ruxolitinib to Treat COVID-19 Pneumonia,Ruxolitinib,C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,I,"Princess Margaret Cancer Centre
 Toronto, Ontario, Canada",
Immunoregulatory Therapy for 2019-nCoV,Thymosin,CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CS)N,C,,
Immunoregulatory Therapy for 2019-nCoV,Thymosin,CC[C@H](C)[C@H](C(=O)N[C@H]([C@H](C)O)C(=O)N[C@H](C(C)C)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@@H](C(C)C)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](CS)N,I,,
"Evaluating the Efficacy and Safety of Bromhexine Hydrochloride Tablets
 Combined With Standard Treatment/ Standard Treatment in Patients With 
Suspected and Mild Novel Coronavirus Pneumonia (COVID-19)",Bromhexine Hydrochloride,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2.Cl,C,"The Second AffIliated Hospital of Wenzhou 
Medical University Wenzhou, Zhejiang, China",
"A Prospective/Retrospective,Randomized Controlled Clinical Study of 
Antiviral Therapy in the 2019-nCoV Pneumonia",Oseltamivir,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC,C,"Department and Institute of Infectious Disease
 Wuhan, Hubei, China",
"A Prospective/Retrospective,Randomized Controlled Clinical Study of 
Antiviral Therapy in the 2019-nCoV Pneumonia",Oseltamivir,CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)OCC,I,"Department and Institute of Infectious Disease
 Wuhan, Hubei, China",
TOFAcitinib in SARS-CoV2 Pneumonia,Tofacitinib,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,C,"Ospedali Riuniti di Ancona
 Ancona, Marche, Italy",
TOFAcitinib in SARS-CoV2 Pneumonia,Tofacitinib,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,I,"Ospedali Riuniti di Ancona
 Ancona, Marche, Italy",
"Treatment of Pulmonary Fibrosis Due to 2019-nCoV Pneumonia
 With Fuzheng Huayu",N-acetylcysteine,CC(=O)NC(CS)C(=O)O,C,"Shuguang Hospital
 Shanghai, Shanghai, China",
"Treatment of Pulmonary Fibrosis Due to 2019-nCoV Pneumonia
 With Fuzheng Huayu",N-acetylcysteine,CC(=O)N[C@@H](CS)C(=O)O,I,"Shuguang Hospital
 Shanghai, Shanghai, China",
The Impact of Camostat Mesilate on COVID-19 Infection,Camostat Mesilate,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N.CS(=O)(=O)O,C,"Department of Infectious Diseases
 Aalborg, Denmark",
Losartan for Patients With COVID-19 Requiring Hospitalization,Losartan,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,C,"Hennepin County Medical Center
 Minneapolis, Minnesota, United States",
Trial of Treatments for COVID-19 in Hospitalized Adults,Interferon Beta,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)OP(=O)(O)OCC3C(C(C(O3)N4C=CC(=NC4=O)N)O)OP(=O)(O)OCC5C(C(C(O5)N6C=CC(=NC6=O)N)O)OP(=O)(O)OCC7C(C(C(O7)N8C=CC(=NC8=O)N)O)OP(=O)(O)OCC9C(C(C(O9)N1C=CC(=NC1=O)N)O)OP(=O)(O)OCC1C(C(C(O1)N1C=CC(=NC1=O)N)O)OP(=O)(O)OCC1C(C(C(O1)N1C=CC(=NC1=O)N)O)OP(=O)(O)OCC1C(C(C(O1)N1C=CC(=NC1=O)N)O)OP(=O)(O)OCC1C(C(C(O1)N1C=CC(=NC1=O)N)O)OP(=O)(O)OCC1C(C(C(O1)N1C=CC(=NC1=O)N)O)OP(=O)(O)OCC1C(C(C(O1)N1C=CC(=NC1=O)N)O)OP(=O)(O)OCC1C(C(C(O1)N1C=CC(=NC1=O)N)O)OP(=O)(O)OCC1C(C(C(O1)N1C=CC(=O)NC1=O)O)O)O.C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)OC4C(OC(C4O)N5C=NC6=C5N=CNC6=O)COP(=O)(O)OC7C(OC(C7O)N8C=NC9=C8N=CNC9=O)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=CNC2=O)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=CNC2=O)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=CNC2=O)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=CNC2=O)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=CNC2=O)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=CNC2=O)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=CNC2=O)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=CNC2=O)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=CNC2=O)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=CNC2=O)COP(=O)(O)O)O)O,C,"CHRU Lille
 Lille, France
 CHU Nantes
 Nantes, France",
"Clinical Study of Arbidol Hydrochloride Tablets in the Treatment 
of Pneumonia Caused by Novel Coronavirus",Arbidol,CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3,C,,
Intravenous Aviptadil for COVID-19 Associated Acute Respiratory Distress,Aviptadil,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)O)C(=O)NC(CC(=O)O)C(=O)NC(C(C)O)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC(C(C)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)N)C(=O)NC(CCSC)C(=O)NC(C)C(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)N)C(=O)NC(CO)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)N)C(=O)N)NC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CC4=CNC=N4)N,C,"Research Center
 New York, New York, United States",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Hydrocortisone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,C,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,I,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Ceftriaxone,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O,C,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Ceftriaxone,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O,I,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Moxifloxacin,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,C,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Moxifloxacin,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,I,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Ceftaroline,CCON=C(C1=NSC(=N1)NP(=O)(O)O)C(=O)NC2C3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)[O-].CC(=O)O.O,C,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Ceftaroline,CCON=C(C1=NSC(=N1)NP(=O)(O)O)C(=O)NC2C3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)[O-].CC(=O)O.O,I,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Piperacillin,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,C,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Piperacillin,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,I,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Macrolide,CC1C2CC(C(C=CC=C(CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)CC(C4(C1O4)C)OC(=O)C(C)(C)OC)C)C)OC)(NC(=O)O2)O,C,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Macrolide,CC1C2CC(C(/C=C/C=C(CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)CC(C4(C1O4)C)OC(=O)C(C)(C)OC)C)C)OC)(NC(=O)O2)O,I,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Amoxicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,C,"Wollongong Hospital
 Sidney, New South Wales, Australia",
"Randomized, Embedded, Multifactorial Adaptive Platform Trial for 
Community- Acquired Pneumonia",Amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,I,"Wollongong Hospital
 Sidney, New South Wales, Australia",
Escin in Patients With Covid-19 Infection,Escin,CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C,C,"Luca Gallelli
 Catanzaro, Italy",
Escin in Patients With Covid-19 Infection,Escin,C/C=C(/C)\C(=O)O[C@@H]1[C@@H]([C@@]2([C@@H](C[C@@]3(C(=CCC4[C@]3(CCC5[C@@]4(CC[C@@H]([C@]5(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C)C)C2CC1(C)C)C)O)CO)OC(=O)C,I,"Luca Gallelli
 Catanzaro, Italy",
Coronavirus ACEi/ARB Investigation,Thiazide,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,C,"University Hospital Galway
 Galway, Ireland",
"COVIDL1: A Study to Investigate the Efficacy of Tradipitant in
 Treating Severe or Critical COVID-19 Infection",Tradipitant,C1=CC=C(C(=C1)C(=O)C2=C(N=CC=C2)C3=C(N(N=N3)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)C5=CC=NC=C5)Cl,C,,
"Efficacy and Safety of Darunavir and Cobicistat for Treatment
 of Pneumonia Caused by 2019-nCoV",Darunavir,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,C,"Shanghai Public Health Clinical Center
 Shanghai, Shanghai, China",
"Efficacy and Safety of Darunavir and Cobicistat for Treatment
 of Pneumonia Caused by 2019-nCoV",Darunavir,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,I,"Shanghai Public Health Clinical Center
 Shanghai, Shanghai, China",
"Efficacy and Safety of Darunavir and Cobicistat for Treatment
 of Pneumonia Caused by 2019-nCoV",Cobicistat,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5,C,"Shanghai Public Health Clinical Center
 Shanghai, Shanghai, China",
"Efficacy and Safety of Darunavir and Cobicistat for Treatment
 of Pneumonia Caused by 2019-nCoV",Cobicistat,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5,I,"Shanghai Public Health Clinical Center
 Shanghai, Shanghai, China",
"Lopinavir/ Ritonavir, Ribavirin and IFN-beta Combination 
for nCoV Treatment",Ribavirin,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,C,"University of Hong Kong, Queen Mary Hospital
 Hong Kong, Hong Kon",
"Lopinavir/ Ritonavir, Ribavirin and IFN-beta Combination 
for nCoV Treatment",Ribavirin,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,I,"University of Hong Kong, Queen Mary Hospital
 Hong Kong, Hong Kon",
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Abemaciclib,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",amodiaquine dihydrochloride,CCNCC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O.Cl.Cl,C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Anidulafungin,CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC=C(C=C7)O)O)O)C(C)O)C)O)O)O,C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Anidulafungin,CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](C7=CC=C(C=C7)O)O)O)[C@@H](C)O)C)O)O)O,I,,
